<ID|readonly|noverify>,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH,RUSSIAN,POLISH,CZECH,TURKISH,CHINESE,JAPANESE,PORTUGUESE,UKRAINIAN,SERBIAN,HUNGARIAN,KOREAN,BELARUSIAN,ROMANIAN,TCHINESE,HCHINESE,VIETNAMESE,COMMENTS,MAX_CHARS
ussr_t_34_1941,T-34 (1941),T-34 (1941),T-34 mod.1941,T-34 (1941),T-34 (1941),Т-34 (1941),T-34 (1941),T-34-76 obr. 1941,T-34 (1941),T-34 1941 型,T 34 1941,T-34 (1941),Т-34 (1941),T-34 (1941),T-34 (1941),T-34 (1941),Т-34 1941 г.,T-34 (1941),T-34 (1941),T-34 1941 型,T-34 (1941),,
ussr_t_34_1942,T-34 (1942),T-34 (1942),T-34 mod.1942,T-34 (1942),T-34 (1942),Т-34 (1942),T-34 (1942),T-34-76 obr. 1942,T-34 (1942),T-34 1942 型,T-34 1942,T-34 (1942),Т-34 (1942),T-34 (1942),T-34 (1942),T-34 (1942),Т-34 1942 г.,T-34 (1942),T-34 (1942),T-34 1942 型,T-34 (1942),,
ussr_t_34_1941_l_11,T-34 (1940),T-34 (1940),T-34 mod.1940,T-34 (1940),T-34 (1940),Т-34 (1940),T-34 (1940),T-34-76 obr. 1940,T-34 (1940),T-34 1940 型,T-34 1940,T-34 (1940),Т-34 (1940),T-34 (1940),T-34 (1940),T-34 (1940),Т-34 1940 г.,T-34 (1940),T-34 (1940),T-34 1940 型\t/L-11,T-34 (1940),,
ussr_t_34_1940_l_11,T-34 (Prototype),A-34,T-34 prototipo,Т-34 Prototyp,T-34 (prototipo),Т-34 (Прототип),T-34 (Prototyp),T-34 prototyp,T-34 (Prototype),T-34 原\t型,T-34 プロトタイプ,T-34 (Prototype),Т-34 (Прототип),T-34 prototip,T-34 (prototípus),T-34 (프로토타입),Т-34 (першаўзор),T-34 (Prototip),T-34 原\t型,T-34 原\t型,Mẫu thử nghiệm T-34,,
jp_halftrack_m16,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅\tM16,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅M16 MGMC,▅\tM16 MGMC,▅\tM16 多\t管\t机\t枪\t运\t载\t车,▅M16 MGMC,,
us_halftrack_m16,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC,MGMC M16,M16 MGMC,M16,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC,M16 MGMC [AAA],M16 MGMC,M16 多\t管\t机\t枪\t运\t载\t车,M16 MGMC,,
us_halftrack_m15,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15 CGMC,M15A1 CGMC [AAA],M15 CGMC,M15 混\t合\t武\t器\t运\t载\t车,M15 CGMC,,
us_m42_duster,M42,M42 Duster,M42 Duster,M42,M42,M42,M42,M42 Duster,M42,M42,M42,M42,M42,M42,M42,M42 더스터,M42 Duster,M42 Duster [AAA],M42,M42\t“除\t尘\t者”,M42,,
jp_m19,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅\tM19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅M19A1,▅\tM19A1,▅\tM19A1 多\t管\t火\t炮\t运\t载\t车,▅M19A1,,
us_t77e1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,T77E1,,
us_m19,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19A1,M19 [AAA],M19A1,M19A1 多\t管\t火\t炮\t运\t载\t车,M19A1,,
us_halftrack_m13,M13 MGMC,M13 MGMC,M13 MGMC,M13 MGMC,M13 MGMC,M13 MGMC,M13 MGMC,MGMC M13,M13 MGC,M13,M13 MGC,M13 MGMC,M13 MGMC,M13 MGC,M13 MGMC,M13 MGMC,M13 MGMC,M13 MGMC [AAA],M13 MGMC,M13 多\t管\t机\t枪\t运\t载\t车,M13 MGMC,,
us_t92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92,T92 轻\t型\t坦\t克,T92,,
us_m56_scorpion,M56,M56,M56 Scorpion,M56,M56,M56,M56,M56 Scorpion,M56,M56,M56,M56,M56,M56,M56,M56,M56,M56,M56,M56\t“蝎”,M56,,
us_m41_walker_bulldog,M41A1,M41A1,M41A1 Walker Bulldog,M41A1,M41A1,M41A1,M41A1,M41A1 Walker Bulldog,M41,M41A1,M41,M41A1,M41A1,M41A1,M41A1,M41A1,M41A1,M41A1,M41A1,M41A1\t“华\t克\t猛\t犬”,M41A1,,
us_m2a4_1st_armor_div,M2A4 (1st Arm.Div.),M2A4 (1st Arm.Div.),M2A4 (1st Arm.Div.),M2A4 (1st Arm.Div.),M2A4 (1° Arm.Div.),M2A4 (1st Arm.Div.),M2A4 (1. Dyw. Panc.),Light M2A4 [1. AD],M2A4 (1st Arm.Div.),M2A4 (第 1 装\t甲\t师),M2A4 (1st Arm.Div.),M2A4 (1st Arm.Div.),M2A4 (1st Arm.Div.),M2A4 (1.Arm.Div.),M2A4 (1. páncéloshadosztály),M2A4 (1st AD),M2A4 (1st Arm.Div.),M2A4 (div. 1 blindate),M2A4 （陸\t軍\t第 1 装\t甲\t師）,M2A4 轻\t型\t坦\t克\t（陆\t军\t第 1 装\t甲\t师）,M2A4 (1st Arm.Div.),,
us_m2a4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,Light M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4,M2A4 轻\t型\t坦\t克,M2A4,,
us_m2a2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,Light M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2,M2A2 轻\t型\t坦\t克,M2A2,,
us_m3a1_stuart,M3A1 Stuart,M3A1 Stuart,M3A1 Stuart,M3A1 Light,M3A1 Stuart,M3A1 Stuart,M3A1 Stuart,M3A1 Stuart,M3A1 Stuart,M3A1 轻\t型\t坦\t克,M3A1 スチュアート,M3A1 Stuart,M3A1 Stuart,M3A1 Stjuart,M3A1 Stuart,M3A1 스튜어트,M3A1 Stuart,M3A1 Stuart,M3A1 斯\t圖\t亞\t特,M3A1\t“斯\t图\t亚\t特”,M3A1 Stuart,,
us_m3a1_stuart_usmc,M3A1 (USMC),M3A1 (USMC),M3A1 (USMC),M3A1 (USMC),M3A1 (USMC),M3A1 (USMC),M3A1 (USMC),M3A1 Stuart [USMC],M3A1 (USMC),M3A1 (海\t军\t陆\t战\t队),M3A1 (海兵隊),M3A1 (USMC),M3A1 (USMC),M3A1 (USMC),M3A1 Stuart (USMC),M3A1 (해병),M3A1 (USMC),M3A1 (USMC),M3A1 (USMC),M3A1\t“斯\t图\t亚\t特”\t（海\t军\t陆\t战\t队）,M3A1 (USMC),,
us_m3_stuart,M3 Stuart,M3 Stuart,M3 Stuart,M3 Light,M3 Stuart,M3 Stuart,M3 Stuart,M3 Stuart,M3 Stuart,M3 轻\t型\t坦\t克,M3 スチュアート,M3 Stuart,M3 Stuart,M3 Stjuart,M3 Stuart,M3 스튜어트,M3 Stuart,M3 Stuart,"M3 ""\t斯\t圖\t亞\t特\t""",M3\t“斯\t图\t亚\t特”,M3 Stuart,,
us_m8_scott,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8A1 Scott,M8 HMC,M8 榴\t弹\t炮\t运\t载\t车,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8 HMC,M8\t“斯\t科\t特”,M8 HMC,,
us_m5a1_stuart_canadian_5st_arm,▃Stuart VI (5th CAD),▃Stuart VI (5th CAD),▃Stuart VI (5th CAD),▃Stuart VI (5th CAD),▃Stuart VI (5.ª DAC),▃Stuart VI (5th CAD),▃Stuart VI (5. KDP),M5A1 Stuart [5. CAD],▃Stuart VI (5th CAD),▃\t斯\t图\t亚\t特 VI (第 5 装\t甲\t师),M5A1 (第\t5\tカナダ\t機甲師団),▃Stuart VI (5th CAD),▃Stuart VI (5th CAD),M5A1 5. Armijske Divizije,▃Stuart VI (5th CAD),▃스튜어트 VI (제5 캐나다 기갑사단),M5A1 5th arm.div.,M5A1 (div. 5 blindate),▃\t斯\t圖\t亞\t特 VI (第 5 裝\t甲\t師),M5A1\t“斯\t图\t亚\t特”\t（第 5 装\t甲\t师）,▃Stuart VI (5th CAD),,
us_m5a1_stuart,M5A1,M5A1,M5A1 Stuart,M5A1,M5A1,M5A1,M5A1,M5A1 Stuart,M5A1,M5A1,M5A1,M5A1,M5A1,M5A1,M5A1,M5A1,M5A1,M5A1,M5A1,M5A1\t“斯\t图\t亚\t特”,M5A1,,
us_m5a1_stuart_td,M5A1 TD,M5A1 TD,M5A1 TD,M5A1 TD,M5A1 TD,M5A1 TD,M5A1 TD,M5A1 TD,M5A1 TD,M5A1 (TD),M5A1 TD,M5A1 TD,M5A1 TD,M5A1 TD,M5A1 (TD),M5A1 TD,M5A1 TD,M5A1 TD,M5A1 (TD),M5A1\t“斯\t图\t亚\t特” (TD),M5A1 TD,,
us_m22_locust,M22,M22,M22 Locust,M22,M22,M22,M22,M22 Locust,M22,M22,M22,M22,M22,M22,M22,M22,M22,M22,M22,M22\t“蝗\t虫”,M22,,
us_m22_locust_race,M22,M22,M22 Locust,M22,M22,M22,M22,M22 Locust,M22,M22,M22,M22,M22,M22,M22,M22,M22,M22,M22,M22\t“蝗\t虫”,M22,,
us_m24_chaffee_tl,M24 (TL),M24 TL,M24 TL,M24 (TL),M24 (TL),M24 (TL),M24 (TL),M24 Chaffee TL,M24 (TL),M24 (TL),M24 (TL),M24 (TL),M24 (TL),M24 (TL),M24 (TL),M24 (TL),M24 TL,M24 (TL),M24\t（雷\t霆\t聯\t賽）,M24\t“霞\t飞”\t（雷\t霆\t联\t赛）,M24 (TL),,
us_m24_chaffee,M24,M24,M24 Chaffee,M24,M24,M24,M24,M24 Chaffee,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24\t“霞\t飞”,M24,,
us_m24_chaffee_tutorial,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,,
us_m103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103,M103 重\t型\t坦\t克,M103,,
us_m6a2e1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,M6A2E1,,
us_t29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29,T29 重\t型\t坦\t克,T29,,
us_t55e1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,T55E1,,
us_t32e1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1,T32E1 重\t型\t坦\t克,T32E1,,
us_t32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32 重\t型\t坦\t克,T32,,
us_t32_tutorial,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32,T32 重\t型\t坦\t克,T32,,
uk_fv4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005,FV4005\t“构\t型 II”,FV4005,,
jp_type_99,Type 99,Type 99,Tipo 99,Typ 99,Tipo 99,Type 99,HS Typ 99,Typ 99,Type 99,99 式\t自\t行\t榴\t弹\t炮,99式自走\t155mmりゅう\t弾砲,Type 99,Type 99,Tip 99,Type 99,99식,Type 99,Type 99,99 式\t自\t行\t榴\t彈\t炮,Type 99,Type 99,,
jp_m44,▅M44,▅M44,▅M44,▅M44,▅M44,▅M44,▅M44,▅M44,▅M44,▅\tM44,▅M44,▅M44,▅M44,▅M44,▅M44,▅M44,▅M44,▅M44,▅\tM44,▅M44,▅M44,,
jp_type_75,Type 75 SPH,Type 75 SPH,Tipo 75 SPH,Typ 75 SPH,Tipo 75 SPH,Type 75 SPH,HS Typ 75,Typ 75,Type 75 SPH,75 式\t自\t行\t榴\t弹\t炮,75式自走りゅう\t弾砲,Type 75 OAP,Type 75 SPH,Tip 75 SPH,75-ös típusú önjáró tarack,75식 자주곡사포,Type 75 SPH,Tip 75 SPH,75\t式 SPH,75\t自\t行\t榴\t弹\t炮,Type 75 SPH,,
jp_type_89,Type 89,Type 89,Tipo 89,Typ 89,Tipo 89,Type 89,Typ 89,Typ 89,Type 89,89 式\t装\t甲\t战\t斗\t车,89式装甲戦闘車,Type 89,Type 89,Tip 89,89-es típus,89식,Type 89,Tip 89,89 式\t裝\t甲\t戰\t鬥\t車,八\t九\t装\t甲\t战\t斗\t车,Type 89,,
jp_type_81_tansam,Type 81 (C),Type 81 (C),Tipo 81 (C),Typ 81 (C),Tipo 81 (C),Type 81 (C),Typ 81 (C),Typ 81 (C),Type 81 (C),81 式\t短 SAM (C),81式短距離地対空誘導弾(C),Type 81 (C),Type 81 (C),Type 81 (C),Type 81 (C),81식 (C),Type 81 (C),Type 81 (C),短\tSAM(C),Type 81 (C),Type 81 (C),,
jp_type_93,Type 93,Type 93,Tipo 93,Typ 93,Tipo 93,Type 93,Typ 93,Typ 93,Type 93,93 式\t近 SAM,高機動車（近\tSAM）,Type 93,Type 93,Tip 93,93-as típus,93식,Type 93,Type 93,93 式\t近 SAM,93\t近\t距\t防\t空\t导\t弹,Type 93,,
jp_type_87,Type 87,Type 87,Tipo 87,Typ 87,Tipo 87,Type 87,Typ 87,Typ 87,Type 87,87 式\t自\t行\t高\t射\t炮,87式自走高射機関砲,Type 87,Type 87,Tip 87,87-es típus,87식 자주대공포,Type 87,Tip 87 [AAA],87 式\t自\t走\t高\t射\t機\t關\t砲,87 自\t行\t高\t射\t机\t关\t炮,Type 87,,
uk_centurion_mk_1,Centurion Mk 1,Centurion Mk 1,Centurion Mk.1,Centurion Mk 1,Centurión Mk. 1,Centurion Mk.1,Centurion Mk 1,Centurion Mk.1,Centurion Mk.1,百\t夫\t长 Mk 1,センチュリオン Mk 1,Centurion Mk 1,Centurion Mk.1,Centurion Mk 1,Centurion Mk. 1,센츄리온 Mk. 1,Centurion Mk.1,Centurion Mk 1,百\t夫\t長 Mk 1,“百\t夫\t长”\tMk 1,Centurion Mk 1,,
uk_m44,▄M44,▄M44,▄M44,▄M44,▄M44,▄M44,▄M44,▄M44,▄M44,▄\tM44,▅M44,▄M44,▄M44,▄M44,▄M44,▄M44,▄M44,▄M44,▄\tM44,▄M44,▄M44,,
uk_m109a1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄\tM109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄M109A1,▄\tM109A1,▄M109A1,▄M109A1,,
us_m109a1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,M109A1,,
us_t30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30,T30 重\t型\t坦\t克,T30,,
us_t34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34,T34 重\t型\t坦\t克,T34,,
uk_a_43_black_prince,Black Prince,Black Prince,Black Prince,Black Prince,Black Prince,Black Prince,Black Prince,Black Prince,Black Prince,黑\t亲\t王,ブラックプリンス,Black Prince,Black Prince,Crni princ,Black Prince,블랙프린스,Black Prince,Black Prince,黑\t王\t子,“黑\t亲\t王”,Black Prince,,
us_m4a3e2_sherman_jumbo_cobra_king,Cobra King,Cobra King,M4A3E2 Cobra King,Cobra King,Cobra King,Cobra King,Cobra King,"M4A3E2 Sherman ""Cobra King""",Cobra King,M4A3E2 (“眼\t镜\t蛇\t王”\t号),コブラキング,Cobra King,Cobra King,Kobra Kralj,Cobra King,코브라 킹,Cobra King,M4A3E2 „Cobra King”,M4A3E2\t（“眼\t镜\t蛇\t王”\t號）,M4A3E2\t“巨\t无\t霸”\t（“眼\t镜\t蛇\t王”\t号）,Cobra King,,
us_m4a3e2_76w_sherman_jumbo,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2 (76)W,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2(76)W Sherman,M4A3E2 (76) W,M4A3E2(76)W,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2(76)W,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2 (76) W,M4A3E2(76)W,M4A3E2(76)W\t“巨\t无\t霸”,M4A3E2 (76) W,,
us_m4a3e2_sherman_jumbo,M4A3E2,M4A3E2,M4A3E2 Jumbo,M4A3E2,M4A3E2 ,M4A3E2,M4A3E2,M4A3E2 Sherman,M4A3E2,M4A3E2,M4A3E2 ,M4A3E2 ,M4A3E2,M4A3E2 ,M4A3E2,M4A3E2,M4A3E2,M4A3E2,M4A3E2,M4A3E2\t“巨\t无\t霸”,M4A3E2,,
us_t1e1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,T1E1,,
us_t1e1_90,T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1/90,T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),T1E1 (90),,
us_m6a1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1 Dreadnought,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1,M6A1 重\t型\t坦\t克,M6A1,,
us_m2_medium,M2,M2,M2,M2,M2,M2,M2,Medium M2,M2,M2 中\t型\t坦\t克,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2 中\t型\t坦\t克,M2,,
us_mk1_grant,▃Grant I,▃Grant I,▃Grant I,▃Grant I,▃Grant I,▃Grant I,▃Grant I,▃Grant I,▃Grant I,▃\t格\t兰\t特 Mk I,▃グラント I,▃Grant I,▃Grant I,▃Grant I,▃Grant I,▃그랜트 I,▃Grant I,M3 Grant,▃\t格\t蘭\t特 Mkl,▃\t“格\t兰\t特”\tMk I,▃Grant I,,
uk_mk1_grant,Grant I,Grant I,Grant Mk.I,Grant I,Grant I,Grant I,Grant I,Grant Mk.I,Grant I,格\t兰\t特 Mk I,グラント I,Grant I,Grant I,Grant I,Grant I,그랜트 I,Grant I,M3 Grant I,M3 格\t蘭\t特 Mkl,“格\t兰\t特”\tI,Grant I,,
us_m4a5_ram_2,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5 Ram II,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5,M4A5\t“公\t羊”\tMk II,M4A5,,
uk_m4a5_ram_2,Ram II,Ram II,Ram II,Ram II,Ram II,Ram II,Ram II,Ram II,Ram II,公\t羊 II,ラム\tII,Ram II,Ram II,Ram II,Ram II,램 II,Ram II,Ram II,公\t羊 II,Ram II,Ram II,,
us_m3_lee,M3 Lee,M3 Lee,M3 Lee,M3 Lee,M3 Lee,M3 Lee,M3 Lee,M3 Lee,M3 Lee,M3 中\t型\t坦\t克,M3,M3 Lee,M3 Lee,M3 Lee,M3 Lee,M3 리,M3 Lee,M3 Lee,M3,M3\t“李”,M3 Lee,,
ussr_m3c,▂M3 Medium,▂M3 Medium,▂М3,▂M3 Medium,▂M3 medio ,▂М-3 Средний,▂М3 Medium,▂ M3 Lee,▂M3 Medium,▂\tM3,▂M3 中戦車,▂M3 Medium,▂М3 Середній,▂M3 Medium,▂M3 Lee,▂M3 중형,▂М3 Сярэдні,▂M3 Mediu,▂\tM3,▂\tM3 中\t型\t坦\t克,▂M3 Medium,,
us_m46_patton,M46,M46,M46 Patton,M46,M46,M46,M46,M46 Patton,M46,M46,M46,M46,M46,M46,M46,M46,M46,M46,M46,M46,M46,,
us_hstv_l,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,HSTV-L,,
us_xm_800t,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,XM800T,,
us_m551_76,M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551/76,M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),M551(76),,
us_m551,M551,M551,M551 Sheridan,M551,M551,M551,M551,M551 Sheridan,M551,M551,M551,M551,M551,M551,M551,M551,M551,M551,M551,M551\t“谢\t里\t登”,M551,,
